Treat,Plot,TreatPlot,ETime,TCham,Cdry,Density,CO2S,H2OS,Tair,Press,RHcham,Dilution
b,1,b1,40,12.43283463,386.8450928,39.40880966,385.8684692,2.524559975,13.63899517,93.56900024,16.30844879,0.997475445
b,1,b1,45,12.37678242,387.3098755,39.41619873,386.3316956,2.525574446,13.63784695,93.56817627,16.37366867,0.997474432
b,1,b1,50,12.34505653,387.8661194,39.42061234,386.8871155,2.524088144,13.6349926,93.56825256,16.40000534,0.997475922
b,1,b1,55,12.35262585,388.3555908,39.41941071,387.3781738,2.516816616,13.6326828,93.56788635,16.35080338,0.997483194
c,1,c1,5,11.08466434,396.8059387,39.59563446,395.3030396,3.78753686,13.24804401,93.56877136,26.64863014,0.996212482
c,1,c1,10,11.14154243,397.6965637,39.58720398,396.1493835,3.890318155,13.24863911,93.56756592,27.31797028,0.996109664
c,1,c1,15,11.17832947,398.3697205,39.58248901,396.7883606,3.969605207,13.24769306,93.56852722,27.80338669,0.99603039
c,1,c1,20,11.11205578,398.9162292,39.59139252,397.308197,4.031015873,13.24567127,93.56776428,28.38025665,0.995968997
c,1,c1,25,11.10264587,399.3388062,39.59275436,397.7074585,4.085146904,13.24044037,93.56788635,28.78215218,0.995914876
b,2,b2,5,9.317090034,384.0507202,39.83916473,383.3680725,1.777480721,12.4448719,93.55879974,13.73387432,0.99822253
b,2,b2,10,10.83604813,384.8587952,39.62612534,383.9480591,2.366449594,12.49170017,93.55891418,16.73172188,0.997633576
b,2,b2,15,10.92813873,385.4699402,39.61326981,384.4887695,2.545406342,12.54210663,93.5588913,18.09236526,0.997454584
b,2,b2,20,10.96724701,385.7591858,39.60768509,384.7545166,2.604353428,12.57454109,93.55858612,18.51117706,0.997395635
b,3,b3,10,9.435118675,393.9114685,39.82141876,392.4677124,3.665157318,11.96121979,93.55620575,28.83714867,0.996334851
b,3,b3,15,9.466929436,394.0023499,39.81686783,392.532959,3.729406595,11.96553707,93.55604553,29.29708672,0.996270597
b,3,b3,20,9.516031265,394.1343079,39.81040192,392.643219,3.783252954,11.96879673,93.55710602,29.62741852,0.996216774
b,3,b3,25,9.56979847,394.1901245,39.80233002,392.6795349,3.832179308,11.97311497,93.55592346,29.89857292,0.996167839
b,3,b3,30,9.523767471,394.3204651,39.80881882,392.7962952,3.865310192,11.9741478,93.55594635,30.27242088,0.996134698
c,5,c5,5,8.853831291,390.043457,39.9021492,388.8900452,2.957113743,11.62003517,93.55303192,24.17527962,0.997042894
c,5,c5,10,8.826669693,390.6464539,39.90612411,389.4605713,3.035749912,11.61517811,93.55334473,24.88373184,0.996964276
c,5,c5,15,8.804576874,391.2791443,39.90906906,390.0695801,3.091263533,11.61244011,93.55291748,25.38466835,0.996908724
c,5,c5,20,8.877502441,391.5776367,39.89884949,390.343811,3.150910139,11.61009312,93.55314636,25.74716759,0.99684906
c,5,c5,25,8.818840027,391.7799683,39.90706635,390.5260925,3.200492144,11.60602188,93.55295563,26.25714302,0.996799529
b,6,b6,20,9.435507774,388.8489075,39.81869507,387.2797546,4.035327911,11.39164829,93.54993439,31.79684258,0.995964646
b,6,b6,25,9.492492676,389.6777344,39.81079102,388.0959167,4.059344292,11.3976326,93.5502243,31.8592968,0.995940685
b,6,b6,30,9.409449577,390.8538513,39.82223129,389.2602539,4.077251434,11.40483856,93.54961395,32.186306,0.995922744
b,6,b6,35,9.427573204,391.51474,39.81983566,389.9124451,4.092597485,11.41133404,93.54998779,32.26128769,0.995907426
b,6,b6,40,9.496987343,392.2287292,39.80970764,390.6186523,4.104913712,11.41965485,93.54916382,32.21892548,0.995895088
c,6,c6,5,8.936083794,402.6100159,39.8883934,401.1228638,3.693745613,11.40622902,93.54805756,29.99618149,0.996306241
c,6,c6,10,8.923313141,403.4615479,39.8901825,401.9251709,3.808033943,11.41263294,93.54801941,30.99438286,0.996191978
c,6,c6,15,8.94918251,403.9986572,39.88659668,402.4268799,3.890497208,11.4169693,93.54818726,31.6455574,0.996109486
c,6,c6,20,8.957383156,404.5215759,39.88529205,402.9202271,3.958668709,11.42339706,93.54785156,32.17168045,0.996041358
c,6,c6,25,8.9609375,404.9653931,39.88500977,403.3404541,4.012526512,11.43117142,93.54836273,32.6312561,0.995987475
c,7,c7,20,9.475164413,390.0922546,39.81713867,388.5269775,4.012595177,11.29096317,93.55940247,31.50553894,0.995987415
c,7,c7,25,9.460478783,390.495636,39.81885529,388.9082031,4.065168381,11.2939539,93.55857849,31.95935059,0.995934844
c,7,c7,30,9.46352005,390.7868958,39.81882477,389.1841125,4.101396084,11.29875469,93.55951691,32.24437714,0.995898604
c,7,c7,35,9.413375854,391.1169739,39.82586288,389.4996643,4.135046959,11.30160618,93.55944824,32.62438965,0.995864928
c,7,c7,40,9.4672575,391.4997864,39.8184433,389.8684082,4.167041302,11.30714607,93.5598526,32.76942444,0.99583298
c,7,c7,45,9.503444672,391.9694824,39.81284332,390.3236694,4.198827744,11.3105135,93.55867767,32.92952347,0.995801151
c,7,c7,50,9.506663322,392.2770691,39.81256866,390.6200562,4.22411108,11.31453705,93.55909729,33.12922287,0.995775878
c,7,c7,55,9.55253315,392.5837097,39.80649567,390.9157715,4.248613834,11.31880379,93.56000519,33.21263885,0.995751381
c,8,c8,5,9.608879089,394.9367676,39.79867935,393.5874329,3.416583061,11.53085327,93.56027222,26.54227829,0.996583402
c,8,c8,10,9.615666389,398.0714722,39.79750061,396.6731567,3.512748241,11.53860569,93.55975342,27.30438042,0.99648726
c,8,c8,15,9.661515236,401.3216553,39.79129791,399.8838501,3.582642317,11.54445076,93.56033325,27.76606178,0.996417344
c,8,c8,20,9.670140266,403.2605591,39.78968811,401.7943726,3.635820389,11.54935551,93.55940247,28.18617821,0.996364176
c,9,c9,5,9.97501564,384.2535095,39.75052643,382.9446716,3.406138182,11.85261917,93.56807709,25.78002739,0.996593833
c,9,c9,10,10.03151035,384.4509583,39.74218369,383.0845947,3.554065228,11.86485004,93.56710815,26.83174896,0.996445954
c,9,c9,15,10.07240963,384.7004089,39.73628998,383.2929382,3.658627033,11.87786102,93.56674194,27.57335854,0.996341348
c,9,c9,20,10.07914352,384.9487,39.73519516,383.5120544,3.732005119,11.88845348,93.56639099,28.13277245,0.996267974
c,9,c9,25,10.0968914,385.1343689,39.73260117,383.6754456,3.788059711,11.89835167,93.56614685,28.54357719,0.996211946
b,10,b10,10,10.89226723,382.5508423,39.62257767,381.4786682,2.80267334,12.08192253,93.56906128,20.03257942,0.99719733
b,10,b10,15,10.63057327,383.0959473,39.65887451,382.0163574,2.818044901,12.10058117,93.56848907,20.50408554,0.997181952
b,10,b10,20,10.81709671,383.5360718,39.63261032,382.4506531,2.830011129,12.11352062,93.56798553,20.33421898,0.997169971
b,10,b10,25,10.79062653,384.6847534,39.63669968,383.5904541,2.844682932,12.12869644,93.56891632,20.48016167,0.997155309
b,10,b10,30,10.72763443,384.9708862,39.64538574,383.8698425,2.860091209,12.1424818,93.56865692,20.67271233,0.997139931
c,10,c10,10,10.41294098,388.2981567,39.68899918,386.8189392,3.809504509,12.30252838,93.56774902,28.05031776,0.996190488
c,10,c10,15,10.39369488,388.5843201,39.69152832,387.0691223,3.899284124,12.30340958,93.56736755,28.76945305,0.996100724
