Treat,Plot,TreatPlot,ETime,TCham,Cdry,Density,CO2S,H2OS,Tair,Press,RHcham,Dilution
b,1,b1,5,14.02807541,375.6447083,38.68291931,374.1302856,4.031555653,14.76879997,92.35854797,23.18208351,0.995968461
b,1,b1,10,14.04676997,375.6996552,38.68047536,374.1916819,4.013792992,14.78429782,92.35872472,23.04931329,0.995986213
b,1,b1,15,14.08948498,375.745166,38.67493134,374.2447876,3.993068743,14.80313225,92.35922394,22.8652298,0.996006918
b,1,b1,20,14.05380516,375.8408264,38.67947006,374.3464539,3.976087618,14.81593246,92.35858917,22.82099876,0.996023917
b,1,b1,25,14.06157761,375.9009033,38.6782341,374.4129944,3.958255243,14.82513084,92.35813751,22.70686646,0.996041739
b,2,b2,15,13.75775909,372.892926,38.71749191,371.0974121,4.815060997,14.98486423,92.35408173,28.08688049,0.995184946
b,2,b2,20,13.78280029,373.4213257,38.7139801,371.5826416,4.923869133,15.01872158,92.35376282,28.68825264,0.995076132
b,2,b2,25,13.8080101,373.9264099,38.7108284,372.0538635,5.007777023,15.05040054,92.35435944,29.14820518,0.99499222
b,2,b2,30,13.83967628,374.4974121,38.70628891,372.5967041,5.075327969,15.08336334,92.35372009,29.48633614,0.994924664
b,2,b2,35,13.87253094,375.0134949,38.70183945,373.0883179,5.133609295,15.11036758,92.35367432,29.76691132,0.994866383
b,2,b2,40,13.89292984,375.4246399,38.69915771,373.4820129,5.174445152,15.13718529,92.35383759,29.97514,0.994825554
c,2,c2,5,13.47726479,374.5836731,38.75527954,372.472876,5.635052013,15.24814129,92.35383759,33.36244431,0.994364953
c,2,c2,10,13.55235691,374.7084473,38.7450737,372.5214966,5.836397648,15.27074738,92.35370636,34.49380569,0.994163597
c,2,c2,15,13.57406178,374.9309387,38.74185104,372.6939148,5.966482639,15.29017105,92.35301666,35.24581528,0.994033504
c,2,c2,20,13.56599407,375.1312134,38.74291,372.8561401,6.064737034,15.30375404,92.35294037,35.85586395,0.993935263
c,2,c2,25,13.56148491,375.258136,38.74378815,372.9506653,6.149020958,15.31416378,92.35358276,36.37916565,0.993850982
c,2,c2,30,13.59038563,375.4588318,38.73981171,373.1274597,6.209399033,15.32343788,92.35341492,36.67734833,0.993790603
c,2,c2,35,13.59373055,375.6487793,38.73954239,373.2974792,6.259314728,15.32927761,92.35384979,36.96820526,0.99374069
c,2,c2,40,13.62144051,375.8352722,38.73606033,373.4672852,6.300597286,15.33608799,92.3544693,37.15420074,0.993699396
b,3,b3,15,14.32412224,375.8700806,38.63946838,374.4175415,3.864481497,15.38604946,92.34990997,21.83677177,0.996135521
b,3,b3,20,14.33632488,376.0327515,38.63775177,374.6114624,3.779690695,15.39748325,92.34972687,21.33147812,0.996220303
b,3,b3,25,14.3302103,376.2177673,38.63828354,374.8186279,3.718958187,15.40746136,92.34903259,20.98499374,0.996281028
b,3,b3,30,14.34501209,376.3531067,38.63656158,374.9719116,3.669960928,15.41747112,92.34967499,20.68382721,0.996330035
b,3,b3,35,14.35209961,376.4864807,38.63564606,375.1202576,3.628884602,15.42578068,92.34976044,20.44212608,0.996371126
c,3,c3,10,13.77605572,379.6228577,38.71316528,377.2615417,6.220060635,15.39326267,92.34964905,36.18565216,0.993779933
c,3,c3,15,13.80586033,380.680957,38.70907135,378.2383728,6.416316128,15.40818863,92.34947662,37.30956726,0.993583679
c,3,c3,20,13.82700996,381.8432617,38.70625916,379.3411316,6.552737427,15.41981697,92.34957428,38.07835388,0.993447268
c,3,c3,25,13.85285702,382.7528076,38.70268478,380.2074402,6.650117207,15.43135548,92.34936066,38.59833908,0.993349874
c,3,c3,30,13.80961552,383.3894165,38.70853271,380.8085266,6.731740475,15.44139175,92.34940033,39.1891777,0.993268239
c,3,c3,35,13.85002937,384.2835571,38.70319977,381.674939,6.788244057,15.45183773,92.34967804,39.43028641,0.993211746
b,4,b4,5,13.81563702,373.7049683,38.70670013,371.9895996,4.590172863,15.51114941,92.34696503,26.64705582,0.995409822
b,4,b4,10,13.87775593,374.0408203,38.698069,372.2864868,4.690189648,15.5464756,92.3463562,27.1633007,0.995309806
b,4,b4,15,13.93945389,374.3354736,38.689888,372.553894,4.759322166,15.57876625,92.34667969,27.46954308,0.995240676
b,4,b4,20,13.93420773,374.6326965,38.69018784,372.8323792,4.805540371,15.60596905,92.3457077,27.75951004,0.995194447
b,4,b4,25,14.00930805,374.8970215,38.68015137,373.0826782,4.839571953,15.63263111,92.34590454,27.82138481,0.995160425
b,5,b5,5,13.89052982,373.926062,38.69476929,372.1538818,4.739375496,15.64667034,92.34259491,27.39300652,0.99526062
b,5,b5,10,13.87008457,374.1874756,38.69757156,372.383313,4.821549892,15.6577095,92.34270172,27.94801407,0.995178461
b,5,b5,15,13.87524853,374.4710205,38.69659805,372.6437012,4.879718876,15.66389294,92.34204102,28.28629646,0.995120287
b,5,b5,20,13.868396,374.673761,38.6980011,372.8286804,4.924488163,15.66679726,92.34318237,28.56397285,0.995075512
c,5,c5,5,13.46709423,375.9197693,38.75165329,373.706781,5.886831474,15.62004433,92.341922,34.91422806,0.994113171
c,5,c5,10,13.53403931,376.3363708,38.74283905,374.0460876,6.085723972,15.64140949,92.34248199,36.01602097,0.99391427
c,5,c5,15,13.51474323,376.7826172,38.74537964,374.4428833,6.209772778,15.65538712,92.3423233,36.82444839,0.993790233
c,5,c5,20,13.53982029,377.2243469,38.74174423,374.8505554,6.29277029,15.6607708,92.34173431,37.27904053,0.993707228
c,5,c5,25,13.50786629,377.4673157,38.74613953,375.0647888,6.364860535,15.662047,92.34191437,37.78421631,0.993635142
b,5,b5,5,12.64174004,373.2938599,38.86363983,371.3716431,5.149314308,15.16813049,92.34209595,32.25366936,0.994850683
b,5,b5,10,12.63134747,373.4992432,38.8650177,371.5125732,5.319055557,15.16750164,92.3420105,33.38604736,0.994680941
b,5,b5,15,12.6718605,373.6980713,38.85929413,371.6642578,5.442379761,15.1641407,92.34150085,34.09045029,0.994557619
b,5,b5,20,12.72149982,373.7588806,38.85249939,371.6871521,5.542947292,15.15817318,92.34138947,34.61591949,0.994457054
b,5,b5,25,12.72618904,373.8377319,38.8518219,371.7331299,5.62970314,15.15131817,92.34129333,35.1645462,0.994370282
c,6,c6,15,12.86093464,375.3600708,38.83244781,373.0971191,6.028764153,15.03563347,92.33874817,37.31820755,0.993971241
c,6,c6,20,12.87142849,375.4652893,38.83129196,373.1737549,6.103178501,15.03765831,92.33938751,37.77109756,0.993896818
c,6,c6,25,12.91761208,375.5997437,38.82493973,373.2864685,6.158914948,15.0377615,92.33918915,38.00540466,0.9938411
c,6,c6,30,12.93641815,375.6361328,38.82274704,373.3009216,6.216660595,15.03823109,92.34004669,38.31484299,0.993783319
c,6,c6,35,12.9114048,375.7191101,38.82624054,373.3634705,6.269684601,15.03546448,92.34028015,38.71144028,0.993730319
c,6,c6,40,12.91736679,375.7753967,38.82516556,373.4051331,6.30764904,15.0328661,92.33964691,38.93655396,0.99369235
b,7,b7,5,13.42377872,374.0553284,38.75542984,372.7469299,3.497886419,14.73177319,92.33696442,20.98297997,0.996502113
b,7,b7,10,13.41461849,374.8020691,38.75679474,373.5253845,3.406296539,14.77048855,92.33726349,20.41395569,0.996593714
b,7,b7,15,13.47373009,375.3798218,38.74934845,374.124408,3.344386911,14.80077362,92.33856659,19.94815025,0.996655619
b,7,b7,20,13.40726471,375.6146545,38.75846329,374.3733459,3.304744244,14.82443256,92.33886719,19.78863106,0.996695256
b,7,b7,25,13.39806786,375.8419739,38.75974197,374.6095154,3.279184532,14.84404984,92.33895264,19.63515549,0.996720815
b,7,b7,30,13.46451721,376.253125,38.75053864,375.0221313,3.271734571,14.86075668,92.33843384,19.50191917,0.996728277
b,7,b7,35,13.52064342,377.0746216,38.7429924,375.8419189,3.269127893,14.8746912,92.33853302,19.41200104,0.996730876
b,7,b7,40,13.45555115,377.4905884,38.75172119,376.2572998,3.267089272,14.88748875,92.33836365,19.48105621,0.996732914
c,7,c7,5,13.19494934,373.3458252,38.78665314,371.1780945,5.806155968,14.89148159,92.33756409,34.9881134,0.99419384
c,7,c7,10,13.25842323,374.2838928,38.77797165,372.0137878,6.065165138,14.90825939,92.33735962,36.51502914,0.993934834
c,7,c7,15,13.2836237,375.1011475,38.77492142,372.7646729,6.228896236,14.92051983,92.33822327,37.4784874,0.9937711
c,7,c7,20,13.31682453,375.8741882,38.7702507,373.4918335,6.338164139,14.92991028,92.33779907,38.08535461,0.993661821
c,7,c7,25,13.34867325,376.6125793,38.7657547,374.1959412,6.41677227,14.94108562,92.33735809,38.48562775,0.993583238
c,7,c7,30,13.35681877,377.3413574,38.76461792,374.8973877,6.476818943,14.95305977,92.3372757,38.84021301,0.99352318
c,7,c7,35,13.37161331,377.97146,38.76256256,375.5058167,6.523328114,14.96301003,92.337146,39.08422775,0.993476665
b,9,b9,15,13.41510487,370.4747925,38.75943756,368.8061279,4.504124641,14.89988613,92.34371643,26.89468613,0.995495868
b,9,b9,20,13.4164505,370.589563,38.75913467,368.9040283,4.548233128,14.9117609,92.34342804,27.17662315,0.99545176
b,9,b9,25,13.3885561,370.6304993,38.76307907,368.9345215,4.575924015,14.91639233,92.34383698,27.387183,0.99542408
b,9,b9,30,13.40245323,370.7427551,38.76117859,369.0340271,4.608956623,14.91676254,92.34378815,27.5639473,0.995391047
b,9,b9,35,13.39772434,370.9167664,38.76154099,369.2001282,4.628085041,14.91382732,92.34312592,27.69167252,0.995371914
b,9,b9,40,13.35437908,371.0178589,38.76753922,369.2919922,4.651724339,14.91085052,92.34344635,27.9113987,0.995348275
c,9,c9,5,12.94277239,375.5159225,38.82368565,373.4244843,5.569455266,14.71028519,92.34432602,34.09094715,0.994430542
c,9,c9,10,12.94874039,376.9303528,38.82274704,374.7658569,5.742364883,14.72304707,92.34402161,35.29622803,0.994257629
c,9,c9,15,12.96560421,378.0765808,38.82041931,375.8549316,5.876172543,14.73803711,92.343927,36.11275253,0.994123828
c,9,c9,20,13.0087719,379.0906738,38.81461945,376.8275696,5.969833469,14.75227966,92.34406281,36.60320206,0.994030178
c,9,c9,25,13.03944721,379.8604675,38.81051559,377.5648315,6.043359566,14.76762829,92.34419556,36.98856583,0.993956637
c,10,c10,5,12.92497635,370.0038757,38.82747116,367.9924194,5.436253166,14.67095013,92.34758759,33.16878395,0.994563746
c,10,c10,10,13.01534233,370.4680298,38.81528778,368.3369873,5.752287006,14.69307117,92.34777374,35.16682968,0.994247711
c,10,c10,15,13.01296062,370.7633789,38.81564026,368.5655945,5.927696991,14.70314178,92.34784393,36.29692917,0.994072294
c,10,c10,20,13.06366215,371.0307373,38.80893631,368.7854248,6.05157423,14.70969257,92.34824982,36.95689087,0.993948436
c,10,c10,25,13.04965534,371.2985962,38.81059723,369.0163879,6.146572495,14.7154356,92.34768524,37.59193115,0.993853426
c,10,c10,30,13.0564909,371.5817627,38.80955658,369.2708679,6.219078445,14.71975441,92.34741669,38.02829437,0.993780923
c,10,c10,35,13.0787241,371.8629639,38.80685043,369.5309265,6.271206951,14.72465,92.34814606,38.30119019,0.993728793
c,10,c10,40,13.06727753,372.08703,38.80818253,369.7367798,6.316392231,14.73021526,92.34762421,38.61286011,0.993683589
