Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
8,D,2,D2,32,3,MOSSPP,A,31
8,D,4,D4,30,3,ERIVAG,D,31
8,D,5,D5,31,3,ERIVAG,D,28
8,D,7,D7,38,3,MOSSPP,A,37
8,E,2,E2,32,3,LICHEN,A,30
8,E,3,E3,30,3,LITTER,D,29
8,E,4,E4,32,3,ERIVAG,D,28
8,F,3,F3,33,3,ERIVAG,D,31
8,F,4,F4,31,3,ERIVAG,D,27
8,D,5,D5,31,4,LITTER,D,30
8,E,2,E2,32,4,MOSSPP,A,31
8,F,4,F4,31,4,LITTER,D,30
9,B,1,B1,36,1,MOSSPP,A,35
9,B,2,B2,36,1,ERIVAG,A,33
9,B,3,B3,36,1,ERIVAG,A,24
9,B,4,B4,43,1,LITTER,D,42
9,C,2,C2,36,1,MOSSPP,A,35
9,C,3,C3,33,1,ERIVAG,D,28
9,C,4,C4,27,1,ERIVAG,A,25
9,C,5,C5,28,1,ERIVAG,D,25
9,C,6,C6,36,1,ERIVAG,D,29
9,C,7,C7,41,1,LEDPAL,A,31
9,D,2,D2,36,1,LEDPAL,A,34
9,D,3,D3,33,1,ERIVAG,A,22
9,D,4,D4,28,1,ERIVAG,D,23
9,D,5,D5,25,1,ERIVAG,A,21
9,D,6,D6,28,1,ERIVAG,D,21
9,D,7,D7,33,1,LEDPAL,D,24
9,E,2,E2,33,1,VACVIT,A,31
9,E,3,E3,33,1,ERIVAG,D,30
9,E,4,E4,26.5,1,ERIVAG,A,20
9,E,5,E5,25,1,ERIVAG,D,22
9,E,6,E6,25,1,ERIVAG,D,20
9,E,7,E7,34,1,ERIVAG,D,24
9,F,2,F2,35,1,VACULI,A,31
9,F,3,F3,35,1,ERIVAG,A,22
9,F,4,F4,27.5,1,ERIVAG,D,27
9,F,5,F5,31,1,ERIVAG,D,22
9,F,6,F6,30,1,ERIVAG,D,22
9,F,7,F7,36,1,LEDPAL,A,27
9,G,3,G3,39,1,CARSPP,A,31
9,G,4,G4,37,1,ERIVAG,D,34
9,G,5,G5,36,1,MOSSPP,A,35
9,G,6,G6,38,1,VACVIT,A,35
9,B,2,B2,36,2,MOSSPP,A,35
9,B,3,B3,36,2,VACVIT,A,32
9,C,3,C3,33,2,MOSSPP,A,32
9,C,4,C4,27,2,ERIVAG,D,26
9,C,5,C5,28,2,ERIVAG,D,26
9,C,6,C6,36,2,MOSSPP,A,35
9,C,7,C7,41,2,VACVIT,A,39
9,D,2,D2,36,2,MOSSPP,A,35
9,D,3,D3,33,2,MOSSPP,A,32
9,D,4,D4,28,2,ERIVAG,A,25
9,D,5,D5,25,2,ERIVAG,D,23
9,D,6,D6,28,2,ERIVAG,D,25
9,D,7,D7,33,2,VACVIT,A,32
9,E,2,E2,33,2,MOSSPP,A,32
9,E,3,E3,33,2,MOSSPP,A,33
9,E,4,E4,26.5,2,ERIVAG,D,26
9,E,5,E5,25,2,ERIVAG,D,24
9,E,6,E6,25,2,ERIVAG,A,23
9,E,7,E7,34,2,MOSSPP,A,33
9,F,2,F2,35,2,VACVIT,A,34
9,F,3,F3,35,2,CARSPP,A,24
9,F,5,F5,31,2,ERIVAG,A,25
9,F,6,F6,30,2,LEDPAL,A,24
9,F,7,F7,36,2,MOSSPP,A,34
9,G,3,G3,39,2,CARSPP,A,33
9,G,4,G4,37,2,MOSSPP,A,36
9,G,6,G6,38,2,LICHEN,A,37
9,B,3,B3,36,3,MOSSPP,A,35
9,C,7,C7,41,3,MOSSPP,A,40
9,D,5,D5,25,3,ERIVAG,D,27
9,D,7,D7,33,3,ERIVAG,D,27
9,E,6,E6,25,3,ERIVAG,D,24
9,F,3,F3,35,3,ERIVAG,D,32
9,F,5,F5,31,3,LEDPAL,A,26
9,F,6,F6,30,3,ERIVAG,D,28
9,G,3,G3,39,3,VACVIT,A,36
9,F,3,F3,35,4,MOSSPP,A,34
9,F,5,F5,31,4,ERIVAG,A,29
9,G,3,G3,39,4,MOSSPP,A,37
10,B,2,B2,30,1,LEDPAL,A,23
10,B,3,B3,29,1,BETNAN,A,17
10,B,4,B4,27,1,SALSPP,A,16
10,B,5,B5,28,1,CARSPP,A,19
10,B,6,B6,30,1,CARSPP,D,25
10,C,2,C2,29,1,ERIVAG,A,19
10,C,3,C3,26,1,ERIVAG,D,21
10,C,4,C4,25,1,CARSPP,A,15
10,C,5,C5,26,1,CARSPP,A,17
10,C,6,C6,32,1,CARSPP,A,21
10,D,2,D2,29,1,LEDPAL,A,19
10,D,3,D3,23,1,VACVIT,A,20
10,D,4,D4,21,1,CARSPP,D,13
10,D,5,D5,26,1,CARSPP,D,17
10,D,6,D6,28,1,CARSPP,D,24
10,D,7,D7,30,1,LITTER,D,28
10,E,2,E2,25,1,CARSPP,A,14
10,E,3,E3,25,1,ERIVAG,D,12
10,E,4,E4,25,1,ERIVAG,D,19
10,E,5,E5,29,1,ERIVAG,D,20
10,E,6,E6,28,1,LEDPAL,A,24
10,E,7,E7,30,1,CARSPP,D,26
10,F,2,F2,32,1,ERIVAG,A,18.5
10,F,3,F3,27,1,ERIVAG,D,25
10,F,4,F4,27,1,CARSPP,A,17.5
10,F,5,F5,28,1,CARSPP,D,25
10,F,6,F6,31,1,CARSPP,D,24
10,F,7,F7,30,1,MOSSPP,A,29
10,G,2,G2,32,1,LEDPAL,A,27.5
10,G,3,G3,32,1,EMPNIG,A,29
10,G,4,G4,33,1,VACVIT,A,26
10,G,5,G5,32,1,CARSPP,D,26
10,G,6,G6,32,1,ANDPOL,A,27.5
10,B,2,B2,30,2,MOSSPP,A,29
10,B,3,B3,29,2,MOSSPP,A,28
10,B,4,B4,27,2,BETNAN,A,21
10,B,5,B5,28,2,CARSPP,D,23
10,B,6,B6,30,2,LEDPAL,A,27
10,C,2,C2,29,2,ERIVAG,D,21
10,C,3,C3,26,2,LICHEN,A,24
10,C,4,C4,25,2,ERIVAG,A,20
10,C,5,C5,26,2,CARSPP,D,20
10,C,6,C6,32,2,CARSPP,D,26
10,D,2,D2,29,2,EMPNIG,A,24
10,D,3,D3,23,2,ERIVAG,D,22
10,D,4,D4,21,2,LEDPAL,A,18
10,D,5,D5,26,2,CARSPP,D,19
10,D,6,D6,28,2,VACVIT,A,26
10,D,7,D7,30,2,MOSSPP,A,29
10,E,2,E2,25,2,ERIVAG,D,19
10,E,3,E3,25,2,ERIVAG,D,18
10,E,4,E4,25,2,ERIVAG,D,21
10,E,5,E5,29,2,VACVIT,A,22
10,E,7,E7,30,2,ERIVAG,D,27
10,F,2,F2,32,2,CARSPP,D,23
10,F,3,F3,27,2,LEDPAL,A,23
10,F,4,F4,27,2,ERIVAG,D,21
10,F,5,F5,28,2,MOSSPP,A,27
10,F,6,F6,31,2,VACVIT,A,25
10,G,2,G2,32,2,EMPNIG,A,29
10,G,3,G3,32,2,MOSSPP,A,31
10,G,4,G4,33,2,CARSPP,D,29
10,G,5,G5,32,2,LEDPAL,A,27
10,G,6,G6,32,2,MOSSPP,A,31
10,B,4,B4,27,3,LEDPAL,A,26
10,B,5,B5,28,3,LITTER,D,27
10,B,6,B6,30,3,LITTER,D,29
10,C,2,C2,29,3,MOSSPP,A,28
10,C,3,C3,26,3,LITTER,D,25
10,C,4,C4,25,3,ERIVAG,D,24
10,C,5,C5,26,3,CARSPP,D,22
10,C,6,C6,32,3,SALSPP,A,27
10,D,2,D2,29,3,LITTER,D,28
10,D,4,D4,21,3,ERIVAG,D,20
10,D,5,D5,26,3,LITTER,D,25
10,E,2,E2,25,3,ERIVAG,D,23
10,E,3,E3,25,3,ERIVAG,D,22
10,E,5,E5,29,3,CARSPP,D,25
10,E,7,E7,30,3,MOSSPP,A,29
10,F,2,F2,32,3,CARSPP,A,30.5
10,F,3,F3,27,3,LITTER,D,26
10,F,4,F4,27,3,VACVIT,A,23
10,F,6,F6,31,3,MOSSPP,A,28
10,G,2,G2,32,3,MOSSPP,A,31.5
10,G,4,G4,33,3,MOSSPP,A,32
10,G,5,G5,32,3,MOSSPP,A,31
10,C,6,C6,32,4,LITTER,D,31
10,E,5,E5,29,4,MOSSPP,A,28
10,F,2,F2,32,4,LITTER,D,31
10,F,4,F4,27,4,CARSPP,D,25
1,C,3,C3,NA,4,MOSSPP,A,NA
1,D,2,D2,NA,6,MOSSPP,A,NA
1,E,2,E2,NA,4,MOSSPP,A,NA
2,B,2,B2,NA,4,MOSSPP,A,NA
2,B,5,B5,NA,4,MOSSPP,A,NA
2,C,2,C2,NA,4,MOSSPP,A,NA
2,C,3,C3,NA,4,MOSSPP,A,NA
2,E,6,E6,NA,4,MOSSPP,A,NA
2,F,1,F1,NA,3,MOSSPP,A,NA
2,F,6,F6,NA,4,MOSSPP,A,NA
3,B,5,B5,NA,5,MOSSPP,A,NA
3,C,5,C5,NA,4,MOSSPP,A,NA
3,D,1,D1,NA,3,MOSSPP,A,NA
3,E,3,E3,NA,4,MOSSPP,A,NA
3,E,6,E6,NA,4,MOSSPP,A,NA
3,E,7,E7,NA,4,MOSSPP,A,NA
3,F,2,F2,NA,2,MOSSPP,A,NA
4,B,4,B4,NA,4,MOSSPP,A,NA
4,C,2,C2,NA,5,MOSSPP,A,NA
4,D,6,D6,NA,3,MOSSPP,A,NA
4,E,2,E2,NA,4,MOSSPP,A,NA
4,E,4,E4,NA,5,MOSSPP,A,NA
4,E,5,E5,NA,5,MOSSPP,A,NA
5,B,2,B2,NA,3,MOSSPP,A,NA
5,B,5,B5,NA,4,MOSSPP,A,NA
5,C,6,C6,NA,5,MOSSPP,A,NA
5,D,6,D6,NA,3,MOSSPP,A,NA
5,D,8,D8,NA,2,MOSSPP,A,NA
5,F,4,F4,NA,6,MOSSPP,A,NA
5,F,7,F7,NA,5,MOSSPP,A,NA
5,G,5,G5,NA,4,MOSSPP,A,NA
6,B,3,B3,NA,4,MOSSPP,A,NA
6,C,5,C5,NA,5,MOSSPP,A,NA
6,D,6,D6,NA,3,MOSSPP,A,NA
7,B,2,B2,NA,4,MOSSPP,A,NA
7,B,3,B3,NA,4,MOSSPP,A,NA
7,B,4,B4,NA,4,MOSSPP,A,NA
7,C,2,C2,NA,4,MOSSPP,A,NA
7,C,3,C3,NA,5,MOSSPP,A,NA
7,C,4,C4,NA,4,MOSSPP,A,NA
7,C,5,C5,NA,3,MOSSPP,A,NA
7,D,5,D5,NA,5,MOSSPP,A,NA
7,D,6,D6,NA,4,MOSSPP,A,NA
