Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
3,F,6,F6,29.0,1,ERIVAG,D,28.0
3,F,7,F7,32.0,1,ERIVAG,D,31.0
3,G,3,G3,29.0,1,MOSSPP,D,28.0
3,G,4,G4,27.0,1,BETNAN,D,25.0
3,G,5,G5,30.0,1,VACVIT,D,26.0
3,G,6,G6,32.0,1,ERIVAG,D,29.0
3,B,5,B5,32.0,2,MOSSPP,D,31.0
3,B,6,B6,33.0,2,MOSSPP,A,32.5
3,B,7,B7,35.0,2,MOSSPP,A,34.0
3,C,3,C3,31.0,2,LITTER,D,30.0
3,C,5,C5,29.0,2,MOSSPP,A,28.0
3,C,6,C6,36.0,2,MOSSPP,A,35.0
3,D,6,D6,36.0,2,MOSSPP,A,35.0
3,D,8,D8,36.0,2,MOSSPP,A,35.0
3,E,7,E7,37.0,2,MOSSPP,A,36.0
3,F,2,F2,31.5,2,LEDPAL,D,28.0
3,F,5,F5,28.0,2,MOSSPP,D,27.0
3,G,4,G4,27.0,2,MOSSPP,A,26.0
3,G,5,G5,30.0,2,MOSSPP,A,29.0
3,G,6,G6,32.0,2,BETNAN,D,31.0
3,F,2,F2,31.5,3,LITTER,D,31.0
4,B,2,B2,30.0,1,MOSSPP,A,29.5
4,B,3,B3,31.0,1,MOSSPP,A,30.0
4,B,4,B4,36.0,1,MOSSPP,D,35.0
4,B,5,B5,37.0,1,MOSSPP,D,36.5
4,B,6,B6,36.5,1,ASHASH,O,36.0
4,B,7,B7,36.0,1,BARGRO,O,36.0
4,C,2,C2,29.0,1,ERIVAG,D,26.0
4,C,3,C3,30.5,1,ERIVAG,D,30.0
4,C,4,C4,30.0,1,ASHASH,O,29.0
4,C,5,C5,32.0,1,MOSSPP,D,31.0
4,C,6,C6,35.0,1,ASHASH,O,34.0
4,C,7,C7,35.0,1,ASHASH,O,34.0
4,D,1,D1,35.0,1,ASHASH,O,34.0
4,D,2,D2,28.0,1,ERIVAG,D,26.0
4,D,3,D3,28.0,1,ERIVAG,D,27.0
4,D,4,D4,29.0,1,ERIVAG,D,28.0
4,D,5,D5,31.0,1,MOSSPP,D,30.0
4,D,6,D6,34.0,1,BETNAN,D,29.0
4,D,7,D7,35.0,1,ASHASH,O,34.0
4,D,8,D8,35.0,1,LITTER,D,34.0
4,E,2,E2,27.0,1,VACVIT,D,22.0
4,E,3,E3,29.0,1,LEDPAL,D,23.0
4,E,4,E4,31.0,1,ERIVAG,D,29.0
4,E,5,E5,33.0,1,MOSSPP,A,32.0
4,E,6,E6,27.0,1,ERIVAG,D,26.0
4,E,7,E7,26.0,1,ERIVAG,D,25.0
4,E,8,E8,35.0,1,BETNAN,D,31.0
4,F,2,F2,35.0,1,MOSSPP,D,34.0
4,F,3,F3,29.0,1,VACVIT,D,27.0
4,F,4,F4,32.0,1,MOSSPP,D,31.0
4,F,5,F5,35.0,1,MOSSPP,A,34.0
4,F,6,F6,36.0,1,LEDPAL,D,28.0
4,F,7,F7,28.0,1,ERIVAG,D,27.0
4,F,8,F8,35.0,1,MOSSPP,D,34.0
4,G,3,G3,39.0,1,VACULI,A,30.0
4,G,4,G4,39.0,1,MOSSPP,D,38.0
4,G,5,G5,36.0,1,MOSSPP,D,35.0
4,G,6,G6,35.0,1,LITTER,D,34.0
4,C,2,C2,29.0,2,MOSSPP,A,28.0
4,D,6,D6,34.0,2,MOSSPP,D,33.0
4,E,2,E2,27.0,2,ERIVAG,D,23.0
4,E,3,E3,29.0,2,LITTER,D,28.0
4,E,4,E4,31.0,2,MOSSPP,D,30.0
4,E,8,E8,35.0,2,BETNAN,D,33.0
4,F,3,F3,29.0,2,MOSSPP,A,28.0
4,F,6,F6,36.0,2,LEDPAL,D,31.0
4,G,3,G3,39.0,2,MOSSPP,A,38.0
4,E,2,E2,27.0,3,MOSSPP,D,26.0
4,E,8,E8,35.0,3,MOSSPP,D,34.0
4,F,6,F6,36.0,3,MOSSPP,D,35.0
5,B,2,B2,30.0,1,LEDPAL,D,27.0
5,B,3,B3,29.5,1,LEDPAL,D,25.0
5,B,4,B4,36.0,1,LEDPAL,A,22.0
5,B,5,B5,37.0,1,MOSSPP,D,36.0
5,B,6,B6,37.0,1,MOSSPP,D,36.0
