Treat,Plot,TreatPlot,ETime,TCham,Cdry,Density,CO2S,H2OS,Tair,Press,RHcham,Dilution
b,5,b5,25,19.62757683,382.2835388,37.93888092,376.8560486,14.19753933,22.01158905,92.34830475,57.11587143,0.985802472
c,5,c5,50,18.90222359,378.1828613,38.03278351,372.1451111,15.96518803,22.02552032,92.34751129,67.2082901,0.984034836
c,5,c5,55,18.87906265,378.724823,38.03588486,372.6419067,16.0615921,22.01720047,92.34772491,67.73051453,0.983938396
c,5,c5,60,18.89334488,379.329834,38.03393555,373.209198,16.13540459,22.0087719,92.34750366,67.98873138,0.983864605
c,5,c5,65,18.90519333,379.8513489,38.03218842,373.6883545,16.22474861,21.99701118,92.34700775,68.31035614,0.983775258
b,6,b6,30,18.9262867,375.3488159,38.03053665,370.3316345,13.36669254,21.34147263,92.34967041,56.17604065,0.986633301
b,6,b6,35,18.9284687,376.2166138,38.03006744,371.1378784,13.49949551,21.34275627,92.34922028,56.73910141,0.986500502
b,6,b6,40,18.89988899,377.1532288,38.03358841,372.0254211,13.596035,21.34640312,92.34873199,57.24364853,0.986403942
b,6,b6,45,18.88342476,378.3204956,38.03603363,373.1479492,13.67239761,21.34933281,92.34946442,57.65086746,0.986327589
b,6,b6,50,18.86532974,379.0672913,38.03871918,373.8676147,13.71698189,21.35256577,92.35025787,57.9120636,0.986283004
c,6,c6,15,17.94400597,374.6726074,38.15900803,369.7207336,13.21650219,21.14140892,92.3500061,58.96465683,0.986783504
c,6,c6,20,18.00211906,375.2155762,38.15143585,370.1373291,13.53426552,21.13757133,92.35011292,60.19373703,0.986465752
c,6,c6,25,18.08273506,375.9146118,38.14089203,370.7096252,13.84618282,21.13108826,92.35015106,61.30137634,0.986153841
c,6,c6,30,18.02604485,376.2737427,38.14789963,371.0022583,14.00969505,21.12391281,92.34914398,62.30897903,0.985990286
c,6,c6,35,18.01085854,376.5097961,38.15029144,371.1937561,14.11927891,21.11599159,92.35011292,62.89567566,0.985880733
b,7,b7,15,18.31820488,372.4669189,38.11058044,368.931427,9.492106438,20.70336723,92.35136414,41.48828888,0.990507901
b,7,b7,20,18.33510017,373.7598267,38.1080246,370.2086792,9.501173019,20.70646477,92.3505249,41.47281265,0.990498841
b,7,b7,25,18.31821442,374.615448,38.1109848,371.0537415,9.507622719,20.70254135,92.35234833,41.55606842,0.990492404
b,7,b7,30,18.27536583,375.359314,38.11602402,371.798584,9.486223221,20.69482994,92.35098267,41.58214951,0.990513802
b,7,b7,35,18.28322601,376.2311096,38.11490631,372.6694031,9.46681118,20.68589401,92.35076904,41.46232986,0.990533173
c,7,c7,10,16.47192764,373.5441895,38.35308075,369.3367615,11.26352119,20.3562603,92.35029602,54.94569016,0.988736451
c,7,c7,15,16.63376236,374.073822,38.33128357,369.6476135,11.83244038,20.35592842,92.34938049,57.26795197,0.988167584
c,7,c7,20,16.64186287,374.536499,38.330513,369.9549255,12.23266888,20.35487938,92.35010529,59.25657654,0.987767339
c,7,c7,25,16.78567123,374.8838196,38.31116867,370.1774902,12.55410385,20.34938812,92.3493042,60.29892349,0.987445891
b,8,b8,5,17.73392105,367.047699,38.18878555,362.9066467,11.2820797,20.13370514,92.35536957,50.29203415,0.988717914
b,8,b8,10,17.74300766,367.9640198,38.18777466,363.4638672,12.22988319,20.20223808,92.35580444,55.15057755,0.98777014
b,8,b8,15,17.68372917,369.0187378,38.19546509,364.3658752,12.60869122,20.2396431,92.35558319,57.21414566,0.987391293
b,8,b8,20,17.60211945,370.1244202,38.20615005,365.3752441,12.8313036,20.25935173,92.35549927,58.5594101,0.98716867
b,8,b8,25,17.70742989,371.071991,38.19248962,366.249054,12.99733925,20.27133751,92.35591888,58.9442215,0.987002671
c,8,c8,5,17.07451248,367.8059998,38.27594376,363.5493469,11.57309628,20.38553238,92.35631561,53.74158096,0.988426924
c,8,c8,10,17.2866497,368.4067993,38.24768066,363.6291809,12.96837521,20.41472244,92.35557556,60.02671432,0.987031639
c,8,c8,15,17.34540176,368.9654541,38.2404747,363.8990479,13.73134708,20.43590164,92.35684967,63.48891068,0.98626864
c,8,c8,20,17.41954994,369.5995178,38.23025131,364.3350525,14.24368477,20.44830513,92.35572815,65.67533112,0.985756338
c,8,c8,25,17.50490379,370.0201721,38.21908188,364.6194458,14.5957346,20.4602356,92.35586548,67.00839996,0.985404253
b,9,b9,30,18.30223656,372.7271423,38.1153183,366.7927246,15.92163372,20.54499245,92.35778809,69.6016922,0.984078348
b,9,b9,35,18.30037308,373.9635925,38.11600494,367.9716492,16.02279282,20.58475304,92.35886383,70.06234741,0.983977199
b,9,b9,40,18.38423347,374.7748718,38.10499573,368.7206421,16.15428352,20.63093185,92.35874939,70.27113342,0.983845711
b,9,b9,45,18.44504929,375.6184998,38.09696198,369.5067749,16.27111053,20.67776299,92.3585434,70.50708008,0.983728886
b,9,b9,50,18.4929142,376.532196,38.09075546,370.3745117,16.35365486,20.72519493,92.35865021,70.64142609,0.983646333
c,9,c9,40,18.01668549,374.2119751,38.152668,368.5470886,15.13814926,20.83580399,92.35771179,67.35272217,0.984861851
c,9,c9,45,18.14830017,375.1201172,38.1353569,369.3912354,15.27214718,20.83051109,92.35753632,67.41371155,0.984727859
c,9,c9,50,18.00403786,376.3459778,38.15391541,370.5628662,15.36647606,20.82310295,92.35671997,68.45671844,0.984633505
c,9,c9,55,18.01836395,377.1318359,38.15207672,371.3083801,15.44143486,20.81394005,92.35681152,68.75283051,0.984558582
c,9,c9,60,18.05217934,377.6578674,38.14745712,371.8162842,15.46794319,20.80711937,92.35635376,68.72619629,0.984532058
b,10,b10,5,17.20422363,366.9309082,38.26042175,362.8972473,10.99299145,20.47337341,92.36011505,50.74319458,0.989006996
b,10,b10,10,17.33545685,367.2154236,38.24274826,362.7627258,12.12552834,20.48383522,92.35918427,56.01386642,0.987874448
b,10,b10,15,17.36919975,367.6022949,38.23846436,362.9215088,12.73329544,20.49322319,92.35956573,58.86249924,0.987266719
b,10,b10,20,17.48283005,367.9279175,38.22367096,363.1047974,13.10885334,20.5006485,92.35993958,60.23916626,0.98689115
b,10,b10,25,17.45643234,368.0865784,38.22728348,363.144989,13.4250679,20.50834656,92.3602829,61.82434845,0.986574948
