Time3,Temp3,Time4,Temp4,Time5,Temp5,Time6,Temp6,Time7,Temp7,Time8,Temp8
735,76.16,445,42.7,625,53.53,765,34.33,575,26.97,845,48.14
740,74.05,450,43.21,630,52.48,770,33.73,580,26.76,850,47.46
745,72.16,455,44.29,635,51.44,775,33.13,585,26.49,855,46.81
750,70.41,460,45.57,640,50.47,780,32.46,590,26.31,860,46.22
755,68.63,465,48.13,645,49.53,785,31.75,595,26.11,865,45.6
760,66.92,470,50.75,650,48.6,790,31.03,600,25.9,870,45.05
765,65.4,475,52.65,655,47.76,795,30.39,605,25.69,875,44.34
770,63.88,480,54.21,660,46.95,,,610,25.54,880,43.7
775,62.45,485,55.73,665,46.07,,,615,25.37,885,43.12
780,61.14,490,58.84,670,45.31,,,620,25.13,890,42.49
785,59.89,495,62.01,675,44.52,,,625,25.01,895,41.95
790,58.59,500,64.46,680,43.81,,,630,24.88,900,41.32
795,57.26,505,66.71,685,43.14,,,635,24.73,905,40.67
800,56.23,510,68.33,690,42.49,,,640,24.66,910,40.09
805,55.09,515,68.52,695,41.84,,,645,24.49,915,39.54
810,53.93,520,68.6,700,41.24,,,650,24.39,920,39.05
815,52.9,525,69.2,705,40.66,,,655,24.22,925,38.55
820,51.94,530,70.32,710,40.04,,,660,24.1,930,38.05
825,50.91,535,69.91,715,39.42,,,665,24.02,935,37.61
830,49.97,540,70.75,720,38.92,,,670,23.92,940,37.09
835,49.02,545,71.24,725,38.41,,,675,23.85,945,36.58
840,48.15,550,72.55,730,37.92,,,680,23.76,950,36.13
845,47.36,555,71.91,735,37.4,,,685,23.63,955,35.64
850,46.7,560,71,740,36.81,,,690,23.48,960,35.14
855,46.03,565,70.52,745,36.26,,,695,23.41,965,34.71
860,45.44,570,70.77,750,35.77,,,700,23.32,970,34.34
865,44.62,575,69.8,755,35.3,,,705,23.22,975,33.95
870,43.88,580,68.23,760,34.69,,,710,23.15,980,33.55
875,43.3,585,68.18,765,34.2,,,715,22.98,985,33.1
880,42.63,590,69.06,770,33.73,,,720,22.96,990,32.64
885,41.97,595,69.31,775,33.3,,,725,22.84,995,32.13
890,41.42,600,69.95,780,32.91,,,730,22.81,1000,31.69
895,40.87,605,72.66,785,32.51,,,735,22.74,1005,31.33
900,40.3,610,75.15,790,32.13,,,740,22.64,1010,30.87
905,39.72,615,76.92,795,31.87,,,745,22.6,1015,30.47
910,39.21,620,77.67,800,31.59,,,750,22.57,1020,30.16
915,38.78,625,78.86,805,31.28,,,755,22.46,1025,29.89
920,38.25,630,79.13,810,30.97,,,760,22.43,1030,29.55
925,37.81,635,79.13,815,30.62,,,765,22.34,1035,29.29
930,37.29,640,80.1,820,30.39,,,770,22.29,1040,29.02
935,36.9,645,81.2,825,30.17,,,775,22.22,1045,28.77
940,36.52,650,81.1,830,29.94,,,780,22.14,1050,28.53
945,36.02,655,79.28,835,29.74,,,785,22.12,1055,28.27
950,35.67,660,78.66,840,29.53,,,790,22.1,1060,28.07
955,35.33,665,77.97,845,29.25,,,795,22.01,1065,27.82
960,34.99,670,78.27,850,29.03,,,800,21.97,1070,27.62
965,34.64,675,78.86,855,28.74,,,805,21.92,1075,27.44
970,34.26,680,81.6,860,28.46,,,810,21.89,1080,27.19
975,33.97,685,82.8,865,28.11,,,815,21.8,1085,26.98
980,33.66,690,84.3,870,27.8,,,820,21.72,1090,26.78
985,33.38,695,84.3,875,27.55,,,825,21.63,1095,26.55
990,33.01,700,83.1,880,27.32,,,830,21.61,1100,26.28
995,32.7,705,82.1,885,27.19,,,835,21.56,1105,26.05
1000,32.44,710,80.6,890,26.97,,,840,21.48,1110,25.79
1005,32.14,715,79,895,26.77,,,845,21.41,1115,25.54
1010,31.96,720,78.31,900,26.66,,,850,21.39,1120,25.31
1015,31.65,725,78.28,905,26.5,,,855,21.31,1125,25.18
1020,31.45,730,77.64,910,26.37,,,860,21.26,1130,25.04
1025,31.23,735,77.43,915,26.27,,,865,21.21,1135,24.86
1030,30.99,740,77.11,920,26.07,,,870,21.15,1140,24.76
1035,30.82,745,77.5,925,25.99,,,875,21.09,1145,24.62
1040,30.67,750,78.38,930,25.84,,,880,21.03,1150,24.61
1045,30.5,755,78.22,935,25.69,,,885,20.95,1155,24.49
1050,30.35,760,78.02,940,25.54,,,890,20.92,1160,24.24
1055,30.22,765,78.15,945,25.42,,,895,20.91,1165,24.14
1060,30.05,770,78.09,950,25.35,,,900,20.91,1170,24.1
1065,29.9,775,78.08,955,25.28,,,905,20.82,1175,22.71
1070,29.72,780,77.64,960,25.12,,,910,20.8,1180,22.64
1075,29.55,785,77.6,965,25.02,,,915,20.74,1185,22.52
1080,29.4,790,78.02,970,24.91,,,920,20.68,1190,21.95
1085,29.2,795,78.5,975,24.73,,,925,20.62,1195,21.5
1090,29,800,79.04,980,24.68,,,930,20.58,1200,21.09
1095,28.9,805,79.48,985,24.58,,,935,20.56,1205,20.63
1100,28.75,810,79.59,990,24.49,,,940,20.56,1210,19.87
1105,28.63,815,79.64,995,24.34,,,945,20.49,1215,20.1
1110,28.56,820,81.9,1000,24.31,,,950,20.39,1220,20.05
1115,28.46,825,84.8,1005,24.19,,,955,20.37,1225,19.84
1120,28.29,830,87.6,1010,24.15,,,960,20.35,1230,19.81
1125,28.11,835,90.5,1015,24.05,,,965,20.33,1235,20.12
1130,28.01,840,98.5,1020,24.05,,,970,20.28,1240,19.81
1135,27.88,845,104.3,1025,23.98,,,975,20.23,1245,19.81
1140,27.74,850,109.1,1030,23.9,,,980,20.24,1250,19.81
1145,27.59,855,109.8,1035,23.8,,,985,20.17,1255,19.82
1150,27.49,860,110.2,1040,23.69,,,990,20.12,1260,19.82
1155,27.39,865,114.7,,,,,995,20.1,1265,19.82
1160,27.36,870,122.4,,,,,1000,20.03,1270,19.84
1165,27.17,875,139.4,,,,,1005,20.03,1275,19.76
1170,27.06,880,158.2,,,,,1010,20.02,1280,19.85
1175,26.94,885,162.4,,,,,1015,20.02,1285,19.81
1180,26.87,890,170.4,,,,,1020,20.02,1290,19.73
1185,26.75,895,183,,,,,1025,19.96,1295,19.56
1190,26.72,900,187.9,,,,,1030,19.91,1300,19.69
1195,26.64,905,186.6,,,,,1035,19.89,1305,19.58
1200,26.55,910,185.3,,,,,1040,19.79,1310,19.53
1205,26.45,915,186.9,,,,,1045,19.75,1315,19.3
1210,26.4,920,189.9,,,,,1050,19.75,1320,19.12
1215,26.33,925,192.5,,,,,1055,19.68,1325,18.91
1220,26.23,930,194.3,,,,,1060,19.71,1330,18.74
1225,26.18,935,201,,,,,1065,19.66,1335,18.57
1230,26.1,940,209.8,,,,,1070,19.66,1340,18.66
1235,26.04,945,211.8,,,,,1075,19.65,1345,17.88
1240,26.04,950,209.4,,,,,1080,19.63,1350,18.13
1245,26.04,955,205.8,,,,,1085,19.58,1355,18.01
1250,25.97,960,201.4,,,,,1090,19.56,1360,17.93
1255,25.87,965,199,,,,,1095,19.5,1365,17.8
1260,25.87,970,200.6,,,,,,,1370,17.68
1265,25.81,975,204.4,,,,,,,1375,17.53
1270,25.72,980,205.4,,,,,,,1380,17.4
1275,25.61,985,204.5,,,,,,,1385,17.33
1280,25.47,990,201.7,,,,,,,1390,17.21
1285,25.39,995,197.6,,,,,,,1395,17.16
1290,25.37,1000,193.6,,,,,,,1400,17.01
1295,25.32,1005,189.4,,,,,,,1405,16.88
1300,25.21,1010,185,,,,,,,1410,16.81
1305,25.21,1015,180.8,,,,,,,1415,16.68
1310,25.06,1020,177,,,,,,,1420,16.63
1315,25.04,1025,172.3,,,,,,,1425,16.53
